brazil,congo_forest,day,month,year
9910,770,15a,7,1981
7710,710,15b,7,1981
3760,720,15a,8,1981
3440,790,15b,8,1981
3820,900,15a,9,1981
3900,780,15b,9,1981
8120,730,15a,10,1981
7690,830,15b,10,1981
7770,1000,15a,11,1981
6782,830,15b,11,1981
7510,720,15a,12,1981
6082,830,15b,12,1981
5530,880,15a,1,1982
7440,730,15b,1,1982
6390,690,15a,2,1982
4690,860,15b,2,1982
4920,810,15a,3,1982
4192,830,15b,3,1982
4160,860,15a,4,1982
4190,840,15b,4,1982
4420,870,15a,5,1982
4590,830,15b,5,1982
5400,970,15a,6,1982
6170,810,15b,6,1982
5910,790,15a,7,1982
5130,760,15b,7,1982
6592,880,15a,8,1982
7580,1010,15b,8,1982
8140,950,15a,9,1982
7502,860,15b,9,1982
8460,810,15a,10,1982
8000,800,15b,10,1982
7012,830,15a,11,1982
7560,790,15b,11,1982
7770,710,15a,12,1982
7530,900,15b,12,1982
7980,710,15a,1,1983
7110,770,15b,1,1983
5560,740,15a,2,1983
5450,720,15b,2,1983
3760,820,15a,3,1983
4490,910,15b,3,1983
3840,880,15a,4,1983
4080,820,15b,4,1983
3540,830,15a,5,1983
3840,710,15b,5,1983
5420,850,15a,6,1983
4970,840,15b,6,1983
6390,930,15a,7,1983
7420,750,15b,7,1983
7030,770,15a,8,1983
8410,960,15b,8,1983
8570,870,15a,9,1983
6382,830,15b,9,1983
6932,810,15a,10,1983
8470,740,15b,10,1983
8160,820,15a,11,1983
6762,830,15b,11,1983
7012,780,15a,12,1983
7170,860,15b,12,1983
7030,780,15a,1,1984
6140,670,15b,1,1984
6000,790,15a,2,1984
4914,750,15b,2,1984
3382,820,15a,3,1984
3990,910,15b,3,1984
3840,820,15a,4,1984
3970,810,15b,4,1984
3290,880,15a,5,1984
3560,870,15b,5,1984
3500,930,15a,6,1984
4890,920,15b,6,1984
3870,1020,15a,7,1984
6160,910,15b,7,1984
5092,1030,15a,8,1984
6992,910,15b,8,1984
7920,730,15a,9,1984
6832,930,15b,9,1984
7532,1030,15a,10,1984
7602,950,15b,10,1984
6872,850,15a,11,1984
7460,860,15b,11,1984
5992,820,15a,12,1984
7610,710,15b,12,1984
7560,690,15a,1,1985
7390,680,15b,1,1985
6090,760,15a,2,1985
3780,850,15b,2,1985
